"IPI Bug Information",,,,,,,,,,,,"IBM Bug Information",,,
"Bug Id","Headline","Status","State","Protocol","Priority","ZebOS Version","Submit Date","Opened Date","Closed Date","Submitter","Comments","Bug Id","Protocol","Status","Comments"
"ZebOS00079773","[FDB] There are duplicate ""vlan"" and ""address"" options when try to dump FDB","Not reproducible","Open","LAYER 2","High",07年10月1日,"May 20, 2013 3:31:24 PM","Jun 14, 2013 12:36:31 PM",,"Jack (liyuanwx@cn.ibm.com)",,"XB171840","L2_FDB","Open",
"ZebOS00079767","[FDB] There are duplicate ""vlan"" options when try to clear FDB by trunk and VLAN","Not reproducible","Open","LAYER 2","High",07年10月1日,"May 20, 2013 2:50:51 PM","Jun 14, 2013 12:31:17 PM",,"Jack (liyuanwx@cn.ibm.com)",,"XB171836","L2_FDB","Open",
"ZebOS00079616","[FDB] “[no] mac-learn disable” command cannot work","Not a Bug","Closed","LAYER 2","Critical",07年10月1日,"May 16, 2013 9:28:20 PM","May 17, 2013 9:25:54 AM","May 17, 2013 9:29:11 AM","Jack",,"XB171560","L2_FDB","Closed",
"ZebOS00078903","[FDB] The static MAC will be flushed in HW when configure port into static trunk",,"Submitted","LAYER 2","Critical",07年10月1日,"Apr 26, 2013 9:05:30 PM",,,"Jack",,"XB150560","L2_FDB","Open",
"ZebOS00078900","[FDB] The packes can't be forwarded if the SMAC equals to the static MAC",,"Submitted","LAYER 2","High",07年10月1日,"Apr 26, 2013 8:31:26 PM",,,"Jack",,"XB150558","L2_FDB","Open",
"ZebOS00078899","[FDB] The static FDB configured on static trunk can't be deleted",,"Submitted","LAYER 2","High",07年10月1日,"Apr 26, 2013 8:18:56 PM",,,"Jack",,"XB150553","L2_FDB","Open",
"ZebOS00078897","[FDB] There's error message when boots up with ""mac-learn disable"" configuration",,"Submitted","LAYER 2","Medium",07年10月1日,"Apr 26, 2013 8:12:09 PM",,,"Jack",,"XB150549","L2_FDB","Open",
"ZebOS00078896","[AT Blocker] [FDB] The ""interface port-channel x"" can't work in all FDB commands",,"Submitted","LAYER 2","Critical",07年10月1日,"Apr 26, 2013 8:00:30 PM",,,"Jack (liyuanwx@cn.ibm.com)",,"XB150548","L2_FDB","Open",
"ZebOS00078895","[FDB] ""show mac address-table x"" commands only available in privilege mode",,"Submitted","LAYER 2","Medium",07年10月1日,"Apr 26, 2013 7:49:41 PM",,,"Jack",,"XB150546","L2_FDB","Open",
"ZebOS00078893","[FDB] Aging-time 0 can't be saved in configuration",,"Submitted","LAYER 2","High",07年10月1日,"Apr 26, 2013 7:41:39 PM",,,"Jack",,"XB150545","L2_FDB","Open",
"ZebOS00078892","[FDB] FDB won't be deleted after disable the mac learning",,"Submitted","LAYER 2","Medium",07年10月1日,"Apr 26, 2013 7:29:49 PM",,,"Jack",,"XB150542","L2_FDB","Open",
"ZebOS00078535","[FDB] Output of ""show mac address-table"" commands are not consistent with CISCO",,"Submitted","LAYER 2","High",07年10月1日,"Apr 20, 2013 10:38:54 AM",,,"Jack",,"XB149841","L2_FDB","Open",
"ZebOS00078534","[FDB] The age time in ""show mac address-table"" commands are not correct",,"Submitted","LAYER 2","High",07年10月1日,"Apr 20, 2013 10:13:16 AM",,,"Jack",,"XB149840","L2_FDB","Open",
"ZebOS00078020","[FDB] ""show mac static"" option will dump the multicast entry",,"Submitted","LAYER 2","High",07年10月1日,"Apr 9, 2013 2:27:25 PM",,,"Jack",,"XB148521","L2_FDB","Open",
"ZebOS00078017","[FDB]CLI output is abnormal when the input is long and the ""tab"" is pressed",,"Submitted","LAYER 2","Medium",07年10月1日,"Apr 9, 2013 2:21:52 PM",,,"Jack",,"XB148516","L2_FDB","Open",
"ZebOS00078016","[FDB] The VLAN range is not correct in commands ""show mac address vlan xxx""",,"Submitted","LAYER 2","High",07年10月1日,"Apr 9, 2013 1:44:48 PM",,,"Jack",,"XB148513","L2_FDB","Open",
"ZebOS00077598","[FDB] Assertion when delete VLAN which has static MAC configured on","Code Delivered","Closed","LAYER 2","Critical",07年10月1日,"Mar 28, 2013 8:14:30 PM","May 2, 2013 2:19:01 AM","May 4, 2013 7:35:29 AM","Jack",,"XB147484 ","L2_FDB","Closed",
"ZebOS00077527","FDB: The option ""address"" in ""show mac address-table x"" commands not work","Code Delivered","Closed","LAYER 2","High",07年10月1日,"Mar 26, 2013 7:54:43 PM","Mar 27, 2013 6:53:51 AM","May 4, 2013 7:38:28 AM","Jack",,"XB147168 ","L2_FDB","Closed",
"ZebOS00077526","FDB: ""_hsl_bcm_delete_l2uc: Failed to delete mac: ..."" appears unexpected","Code Delivered","Closed","LAYER 2","Medium",07年10月1日,"Mar 26, 2013 7:38:21 PM","Mar 27, 2013 6:52:51 AM","May 4, 2013 7:41:09 AM","Jack",,"XB147166 ","L2_FDB","Closed",
"ZebOS00077525","FDB: The error message is not correct when delete non-exist static FDB entry","Under Investigation","Open","LAYER 2","Medium",07年10月1日,"Mar 26, 2013 7:32:00 PM","Mar 27, 2013 6:51:57 AM",,"Jack",,"XB147165 ","L2_FDB","Open",
"ZebOS00077524","FDB: The scope of the MAC address aging time is not correct","Code Delivered","Closed","LAYER 2","Medium",07年10月1日,"Mar 26, 2013 7:26:00 PM","Mar 27, 2013 6:50:59 AM","May 4, 2013 7:41:58 AM","Jack",,"XB147163 ","L2_FDB","Closed",
"ZebOS00077522","FDB: Can't disable MAC address aging","Code Delivered","Closed","LAYER 2","High",07年10月1日,"Mar 26, 2013 7:08:26 PM","Mar 27, 2013 6:48:56 AM","May 4, 2013 7:42:57 AM","Jack",,"XB147160 ","L2_FDB","Closed",
"ZebOS00077521","FDB: Can't save configuration for MAC Learning Control command.","Code Delivered","Closed","LAYER 2","High",07年10月1日,"Mar 26, 2013 6:03:55 PM","May 2, 2013 2:07:53 AM","May 4, 2013 7:43:43 AM","Jack",,"XB147148 ","L2_FDB","Closed",
"ZebOS00077506","FDB: Need about 15 seconds to flush 128K FDB entries",,"Submitted","LAYER 2","Medium",07年10月1日,"Mar 26, 2013 5:02:58 PM",,,"Jack",,"XB147146 ","L2_FDB","Open",
"ZebOS00077504","FDB: All dynamic FDB entries are deleted after add port into static port-channel",,"Submitted","LAYER 2","High",07年10月1日,"Mar 26, 2013 4:53:59 PM",,,"Jack",,"XB147145 ","L2_FDB","Open",
"ZebOS00077503","FDB: ""clear mac address dynamic VLAN xxx"" in configure mode not work as expected",,"Submitted","LAYER 2","High",07年10月1日,"Mar 26, 2013 4:42:58 PM",,,"Jack",,"XB147140 ","L2_FDB","Open",
"ZebOS00077496","[FDB] ""clear mac x"" commands under EXEC mode and Config mode are not identical","Code Delivered","Closed","LAYER 2","High",07年10月1日,"Mar 26, 2013 10:48:27 AM","May 2, 2013 2:14:08 AM","May 4, 2013 7:48:43 AM","Jack",,"XB147139 ","L2_FDB","Closed",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"LLDP","Filed by our team",,,,,,,,,,,,,,
"ZebOS00080970","[MIB]lldpRemManAddrTable returned OID is not correct",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 3:32:47 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182223","L2_LLDP","Open",
"ZebOS00080965","[MIB]lldpRemSysCapSupported/lldpRemSysCapEnabled return value type not correct",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 2:44:19 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182222","L2_LLDP","Open",
"ZebOS00080964","[MIB]lldpRemPortDesc return value is not correct",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 2:34:33 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182220","L2_LLDP","Open",
"ZebOS00080963","[MIB]lldpRemPortId should not be mac address",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 2:21:04 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182219","L2_LLDP","Open",
"ZebOS00080960","[MIB]lldpRemPortIdSubtype should be locally assigned(7)",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 1:58:17 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182218","L2_LLDP","Open",
"ZebOS00080959","[MIB]lldpLocManAddrTable should return the manegement interface",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 1:42:30 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182217","L2_LLDP","Open",
"ZebOS00080956","[MIB]lldpPortConfigTLVsTxEnable return vlaue type should be octetstring",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 1:07:39 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182216","L2_LLDP","Open",
"ZebOS00080951","[MIB]lldpConfigManAddrPortsTxEnable get value are all zero",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 11:05:49 AM",,,"nick.zhuyj@cn.ibm.com",,"XB182215","L2_LLDP","Open",
"ZebOS00080948","LLDP[TX]: Re-Scheduling tx-delay while timer always printed",,"Submitted","LLDP","Critical",07年10月1日,"Jun 8, 2013 10:58:46 AM",,,"nick.zhuyj@cn.ibm.com",,"XB182224","L2_LLDP","Open",
"ZebOS00080944","[MIB]lldpLocSysCapSupported lldpLocSysCapEnabled return value type not correct",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 10:39:47 AM",,,"nick.zhuyj@cn.ibm.com",,"XB182212","L2_LLDP","Open",
"ZebOS00080942","[MIB]lldpLocPortIdSubtype should be locally assigned(7)",,"Submitted","LLDP","High",07年10月1日,"Jun 8, 2013 10:09:38 AM",,,"nick.zhuyj@cn.ibm.com",,"XB182211","L2_LLDP","Open",
"ZebOS00080845","[MIB]lldpLocPortDesc is not supported",,"Submitted","LLDP","High",07年10月1日,"Jun 7, 2013 5:06:43 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182210","L2_LLDP","Open",
"ZebOS00080842","[MIB]lldpNotificationInterval & lldpPortConfigNotificationEnable is not support",,"Submitted","LLDP","High",07年10月1日,"Jun 7, 2013 4:53:46 PM",,,"nick.zhuyj@cn.ibm.com",,"XB182209","L2_LLDP","Open",
"ZebOS00079633","lldp debug commands is different than other module",,"Submitted","LLDP","Low",07年10月1日,"May 17, 2013 10:34:29 AM",,,"nick.zhuyj@cn.ibm.com",,"XB171633","L2_LLDP","Open",
"ZebOS00078936","LLDP reinit timer",,"Submitted","LLDP","High",07年10月1日,"Apr 28, 2013 11:15:51 AM",,,"nick.zhuyj@cn.ibm.com",,"XB150651","L2_LLDP","Open",
"ZebOS00078930","[CRITICAL]ONMD crash when switch between switchport/routedport on down port",,"Submitted","LLDP","Critical",07年10月1日,"Apr 27, 2013 11:01:02 AM",,,"nick.zhuyj@cn.ibm.com",,"XB150622","L2_LLDP","Open",
"ZebOS00078926","[CRITICAL]Change Port Native VLAN never update PortVLAN TLV",,"Submitted","LLDP","Critical",07年10月1日,"Apr 27, 2013 10:21:37 AM",,,"nick.zhuyj@cn.ibm.com",,"XB150620","L2_LLDP","Open",
"ZebOS00078837","LLDP trap should be supported",,"Submitted","LLDP","Critical",07年10月1日,"Apr 26, 2013 2:04:53 PM",,,"nick.zhuyj@cn.ibm.com",,"XB150498","L2_LLDP","Open",
"ZebOS00078824","Something change local should trigger PDU transmit",,"Submitted","LLDP","High",07年10月1日,"Apr 26, 2013 10:52:04 AM",,,"nick.zhuyj@cn.ibm.com",,"XB150466","L2_LLDP","Open",
"ZebOS00078823","shutdown port doesn't trigger shutdown frame",,"Submitted","LLDP","High",07年10月1日,"Apr 26, 2013 9:47:23 AM",,,"nick.zhuyj@cn.ibm.com",,"XB150452","L2_LLDP","Open",
"ZebOS00078783","[CRITICAL]disable transmit doesn't trigger shutdown frame",,"Submitted","LLDP","Critical",07年10月1日,"Apr 25, 2013 4:29:23 PM",,,"nick.zhuyj@cn.ibm.com",,"XB150342","L2_LLDP","Open",
"ZebOS00078775","[CRITICAL]Disable then enable LLDP on port result to error PDU",,"Submitted","LLDP","Critical",07年10月1日,"Apr 25, 2013 1:42:04 PM",,,"nick.zhuyj@cn.ibm.com",,"XB150322","L2_LLDP","Open",
"ZebOS00078691","[CRITICAL]LLDP timer configure issue",,"Submitted","LLDP","Critical",07年10月1日,"Apr 24, 2013 2:21:21 PM",,,"nick.zhuyj@cn.ibm.com",,"XB150200","L2_LLDP","Open",
"ZebOS00078686","disable LLDP result of unexpected config",,"Submitted","LLDP","High",07年10月1日,"Apr 24, 2013 1:00:18 PM",,,"nick.zhuyj@cn.ibm.com",,"XB150194","L2_LLDP","Open",
"ZebOS00078620","Some TLV string container is too short",,"Submitted","LLDP","High",07年10月1日,"Apr 23, 2013 2:55:01 PM",,,"nick.zhuyj@cn.ibm.com",,"XB150064","L2_LLDP","Open",
"ZebOS00078572","Aggregation ID is not correct",,"Submitted","LLDP","High",07年10月1日,"Apr 22, 2013 2:36:21 PM",,,"nick.zhuyj@cn.ibm.com",,"XB149874","L2_LLDP","Open",
"ZebOS00078569","autonego capability and oper mau type is always zero",,"Submitted","LLDP","High",07年10月1日,"Apr 22, 2013 2:12:05 PM",,,"nick.zhuyj@cn.ibm.com",,"XB149871","L2_LLDP","Open",
"ZebOS00078099","Managemen TLV",,"Submitted","LLDP","High",07年10月1日,"Apr 10, 2013 9:22:38 AM",,,"nick.zhuyj@cn.ibm.com",,"XB148671","L2_LLDP","Open",
"ZebOS00077584","onmd crash when enable ieee-8021-org-specific","Under Investigation","Open","LLDP","Critical",07年10月1日,"Mar 28, 2013 3:45:58 PM","Apr 2, 2013 10:15:22 AM",,"nick.zhuyj@cn.ibm.com",,"XB147467","L2_LLDP","Open",
"ZebOS00077356","[CRITICAL]PortID subtype should be locally assigned(7)","Under Investigation","Open","LLDP","Critical",07年10月1日,"Mar 22, 2013 10:09:16 AM","Mar 23, 2013 1:36:54 AM",,"nick.zhuyj@cn.ibm.com",,"BUG70104","L2_LLDP","New",
"ZebOS00077333","the prompt is not user friendly when enable lldp on not support interface","Under Investigation","Open","LLDP","Low",07年10月1日,"Mar 21, 2013 5:41:53 PM","Mar 22, 2013 2:29:35 PM",,"nick.zhuyj@cn.ibm.com",,"BUG70083","L2_LLDP","New",
"ZebOS00077326","TLV SysName/SysDesc/ManagementAddr","Under Investigation","Open","LLDP","High",07年10月1日,"Mar 21, 2013 5:18:43 PM","Apr 1, 2013 4:49:23 AM",,"nick.zhuyj@cn.ibm.com",,"BUG70072","L2_LLDP","New",
"ZebOS00077320","When change port to switchport, error prompt","Under Investigation","Open","LLDP","Critical",07年10月1日,"Mar 21, 2013 1:47:24 PM","Mar 22, 2013 2:20:25 AM",,"nick.zhuyj@cn.ibm.com",,"BUG70081","L2_LLDP","New",
"ZebOS00077271","The LLDP timer configuration is chaos","Enhancement Submitted","Open","LLDP","Critical",07年10月3日,"Mar 20, 2013 1:54:05 PM","Mar 21, 2013 2:26:53 AM",,"Adam Guo",,"XB149124","L2_LLDP","Open",
"ZebOS00077183","LLDP should not allow to config under loopback interface","Code Delivered","Closed","LLDP","Medium",07年10月2日,"Mar 17, 2013 8:19:59 PM","Mar 20, 2013 4:30:38 AM","Apr 22, 2013 10:55:14 AM","Adam Guo",,"XB149125","L2_LLDP","Closed",
"ZebOS00077140","[LLDP]lldp config disappear when change between switchport/routedport","Code Delivered","Closed","LLDP","High",07年10月1日,"Mar 14, 2013 5:05:43 PM","May 20, 2013 11:11:01 AM","May 21, 2013 1:22:18 PM","nick.zhuyj@cn.ibm.com",,"BUG69924","L2_LLDP","Fixed",
"ZebOS00076816","LLDP is disabled on port by default","Enhancement Submitted","Open","LLDP","High",07年10月1日,"Mar 1, 2013 1:33:00 PM","Mar 1, 2013 4:10:46 PM",,"nick.zhuyj@cn.ibm.com",,"BUG69474","L2_LLDP","New",
"ZebOS00076660","LLDP configuration should not be allowed in dynamic and static LAG","Code Delivered","Closed","LLDP","Low",07年10月1日,"Feb 22, 2013 10:45:12 PM","Feb 26, 2013 3:23:10 PM","Apr 22, 2013 10:58:09 AM","Adam",,"BUG69256","L2_LLDP","Fixed",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PVLAN","Filed by our team",,,,,,,,,,,,,,
"ZebOS00077573","[PVLAN]switchport private-vlan mapping issue","Enhancement Submitted","Open","VLAN","High",07年10月1日,"Mar 28, 2013 1:37:54 PM","Mar 29, 2013 4:58:03 AM",,"nick.zhuyj@cn.ibm.com",,"XB147457","L2_PVLAN","Open",
"ZebOS00077572","[PVLAN]switchport private-vlan host-association issue","Enhancement Submitted","Open","VLAN","High",07年10月1日,"Mar 28, 2013 1:31:33 PM","Mar 29, 2013 4:58:59 AM",,"nick.zhuyj@cn.ibm.com",,"XB147456","L2_PVLAN","Open",
"ZebOS00077571","[PVLAN]show vlan private-vlan issue","Enhancement Submitted","Open","VLAN","High",07年10月1日,"Mar 28, 2013 1:23:15 PM","Mar 29, 2013 4:59:22 AM",,"nick.zhuyj@cn.ibm.com",,"XB147455","L2_PVLAN","Open",
"ZebOS00077570","[PVLAN]private-vlan association issue","Enhancement Submitted","Open","VLAN","High",07年10月1日,"Mar 28, 2013 1:16:21 PM","Mar 29, 2013 4:59:48 AM",,"nick.zhuyj@cn.ibm.com",,"XB147453","L2_PVLAN","Open",
"ZebOS00076623","[PVLAN]negative promiscuous/host port result unexpected config","Code Delivered","Closed","VLAN","Low",07年10月1日,"Feb 21, 2013 3:13:22 PM","Apr 11, 2013 9:44:54 AM","May 17, 2013 1:45:25 PM","nick.zhuyj@cn.ibm.com",,"BUG69145","L2_PVLAN","Fixed",
"ZebOS00076622","[PVLAN]It should be forbidden when change promiscuous port to trunk mode","Code Delivered","Closed","VLAN","Low",07年10月1日,"Feb 21, 2013 2:55:58 PM","Apr 11, 2013 9:36:04 AM","May 17, 2013 1:48:50 PM","nick.zhuyj@cn.ibm.com",,"BUG69143","L2_PVLAN","Fixed",
"ZebOS00076621","[PVLAN]remove promiscuous port from private-vlan mapping fail","Defect Not-Fixed","Open","VLAN","Medium",07年10月1日,"Feb 21, 2013 2:46:30 PM","Jun 13, 2013 9:55:03 AM",,"nick.zhuyj@cn.ibm.com",,"BUG69142","L2_PVLAN","New",
"ZebOS00076589","[PVLAN]Chg promiscuous port pvid fail","Defect Not-Fixed","Open","VLAN","Low",07年10月1日,"Feb 20, 2013 4:03:30 PM","Apr 22, 2013 10:51:59 AM",,"nick.zhuyj@cn.ibm.com",,"BUG69090","L2_PVLAN","New",
"ZebOS00076588","[PVLAN]Map secondary VLAN back fail","Code Delivered","Closed","VLAN","Low",07年10月1日,"Feb 20, 2013 3:42:53 PM","Apr 11, 2013 10:05:39 AM","May 17, 2013 1:56:40 PM","nick.zhuyj@cn.ibm.com",,"BUG69086","L2_PVLAN","Fixed",
"ZebOS00076585","[PVLAN]del VLAN of primary when one secondary is mapped to it fail","Code Delivered","Closed","VLAN","Low",07年10月1日,"Feb 20, 2013 2:58:40 PM","Apr 11, 2013 10:06:43 AM","May 17, 2013 1:58:35 PM","nick.zhuyj@cn.ibm.com",,"BUG69082","L2_PVLAN","Fixed",
"ZebOS00076582","[PVLAN]Chg community to isolated fail when isolated is already exist in domain","Not reproducible","Closed","VLAN","Low",07年10月1日,"Feb 20, 2013 2:14:07 PM","Apr 16, 2013 9:53:36 AM","May 17, 2013 2:00:50 PM","nick.zhuyj@cn.ibm.com",,"BUG69077","L2_PVLAN","Fixed",
"ZebOS00076580","[PVLAN]Chg SecondaryVLAN to primary fail when port mapped to primary","Defect Not-Fixed","Open","VLAN","Low",07年10月1日,"Feb 20, 2013 1:55:31 PM","Jun 13, 2013 9:57:28 AM","Apr 11, 2013 10:00:19 AM","nick.zhuyj@cn.ibm.com",,"BUG69075","L2_PVLAN","New",
"ZebOS00076578","[PVLAN]Chg PrimaryVLAN to secondary fail when port mapped to this primary","Defect Not-Fixed","Open","VLAN","Low",07年10月1日,"Feb 20, 2013 1:31:05 PM","Jun 13, 2013 9:58:53 AM","Apr 11, 2013 9:54:04 AM","nick.zhuyj@cn.ibm.com",,"BUG69072","L2_PVLAN","New",
"ZebOS00076562","[PVLAN][CLI]Configure PVLAN type CLI should follow N3K style","Enhancement Submitted","Open","VLAN","High",07年10月1日,"Feb 19, 2013 4:47:25 PM","Feb 19, 2013 10:46:28 PM",,"nick.zhuyj@cn.ibm.com",,"BUG68982","L2_PVLAN","New",
"ZebOS00076561","[PVLAN][CLI]feature private-vlan should be support","Enhancement Submitted","Closed","VLAN","Low",07年10月1日,"Feb 19, 2013 4:36:51 PM","Feb 19, 2013 10:28:49 PM","Feb 25, 2013 9:34:21 AM","nick.zhuyj@cn.ibm.com",,"BUG68981","L2_PVLAN","Fixed",
"ZebOS00076558","[PVLAN]chg SecondaryVLAN to primary fail when secondary already map to primary","Code Delivered","Closed","VLAN","High",07年10月1日,"Feb 19, 2013 3:55:53 PM","Apr 16, 2013 9:56:05 AM","May 17, 2013 2:09:20 PM","nick.zhuyj@cn.ibm.com",,"BUG68980","L2_PVLAN","Fixed",
"ZebOS00076553","PVLAN-Chg PrimaryVLAN to secondary when primary associated with secondary fail","Code Delivered","Closed","VLAN","High",07年10月1日,"Feb 19, 2013 1:59:12 PM","Apr 16, 2013 9:56:23 AM","May 17, 2013 2:11:05 PM","nick.zhuyj@cn.ibm.com",,"BUG68974","L2_PVLAN","Fixed",
"ZebOS00076551","Unable to delete an interface from VLAN using the cmd specified in ZebOS guide","Response Provided","Closed","VLAN","Low",07年10月1日,"Feb 19, 2013 11:03:41 AM","Feb 21, 2013 4:57:30 PM","Feb 21, 2013 5:29:47 PM","nick.zhuyj@cn.ibm.com",,"BUG67757","L2_PVLAN","Fixed",
"ZebOS00076052","PrivateVLAN cannot be used in default bridge","Enhancement Submitted","Open","VLAN","Critical",07年10月1日,"Jan 24, 2013 1:37:55 PM","Jan 30, 2013 3:52:58 PM",,"Nick Zhu",,"BUG68033","L2_PVLAN","New",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"RSTP/RPVST+/MSTP","Filed by our team",,,,,,,,,,,,,,
"ZebOS00081828","[MSTP]need to remove the ""quit"" command from mst configure mode",,"Submitted","MSTP","Medium",07年10月1日,"Jun 25, 2013 4:34:16 PM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00081579","[MSTP]port in suspended vlan should be remove from mapped mst instance",,"Submitted","MSTP","High",07年10月1日,"Jun 20, 2013 5:00:27 PM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00081007","[MSTP-mib] Spanning tree dot1dStpPortProtocolMigration setting is not supported.",,"Submitted","MSTP","Medium",07年10月1日,"Jun 9, 2013 1:29:14 PM",,,"Rocky Cui",,,"L2_STP","Open",
"ZebOS00081004","[MSTP-mib] Get dot1dStpPortDesignatedCost value error.",,"Submitted","MSTP","Medium",07年10月1日,"Jun 9, 2013 10:54:24 AM",,,"Rocky Cui",,,"L2_STP","Open",
"ZebOS00081003","[MSTP]ports not added to instance in some configure order",,"Submitted","MSTP","High",07年10月1日,"Jun 9, 2013 10:31:13 AM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00080999","[MSTP]""spanning-tree cost xxx"" should apply to all instances, the same as N3K",,"Submitted","MSTP","Medium",07年10月1日,"Jun 9, 2013 10:03:12 AM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00080998","[MSTP-mib]  Get dot1dStpRootCost and dot1dStpRootPort value error.",,"Submitted","MSTP","High",07年10月1日,"Jun 9, 2013 9:56:10 AM",,,"Rocky Cui",,,"L2_STP","Open",
"ZebOS00080953","[STP]spanning-tree pathcost of 40g interface should be 500",,"Submitted","STP","Medium",07年10月1日,"Jun 8, 2013 11:23:53 AM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00080934","[AT blocker]broadcast strom in Bingo full mesh topology","Response Provided","Submitted","STP","Critical",07年10月1日,"Jun 8, 2013 9:09:33 AM",,,"qminming@cn.ibm.com",,,"L2_STP",,
"ZebOS00080889","[STP]stp root bridge error after Gryphon booted",,"Submitted","STP","High",07年10月1日,"Jun 7, 2013 9:34:48 PM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00080859","[AT Blocker]HSL,NSM,mstpd,lacpd were killed when boot two Gryphons the same time",,"Submitted","STP","Critical",07年10月1日,"Jun 7, 2013 5:38:02 PM",,,"Min Ming Qian",,,"L2_STP",,
"ZebOS00080816","[MSTP-mib] stp timer value range error and some mib operate not take effect.",,"Submitted","MSTP","High",07年10月1日,"Jun 7, 2013 2:43:50 PM",,,"Rocky Cui",,,"L2_STP","Open",
"ZebOS00080733","[MSTP] All following useless command should be hidden.",,"Submitted","MSTP","High",07年10月1日,"Jun 6, 2013 3:37:50 PM",,,"Rocky Cui",,,"L2_STP","Open",
"ZebOS00080700","[MSTP] DSC ports should not display on cmd ""show spanning active"".",,"Submitted","MSTP","High",07年10月1日,"Jun 6, 2013 9:56:24 AM",,,"Rocky Cui",,,"L2_STP","Open",
